genome	true_class	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G000196675	4	4.0	1.0	1.0035092818994467e-35	4.1728311778177485e-11	2.4555911241942866e-25	4.445533392423683e-33	1.0	4.390172592799651e-18	7.216646170121883e-31	1.4879989188033318e-19	1.3032075718220799e-42	7.352950409459705e-23	2.662574686898994e-23	4.4919368185312325e-17	8.417277576552381e-39	8.632813685232428e-16	5.429705292896593e-34
G002002505	10	10.0	1.0	2.744321696973584e-13	4.3623005371444656e-30	2.886457087261447e-19	3.0095936747879283e-18	5.1482473158021766e-23	2.8844414807532025e-20	3.647734427110656e-21	1.5638685660652606e-15	5.180817152390395e-29	2.058092612846381e-21	1.0	4.098870201585392e-11	1.4481384841280587e-12	4.314640314149082e-21	9.701859107758004e-12
G001672375	7	7.0	1.0	1.6934324868430087e-35	5.984956951519008e-38	5.696574839497759e-36	4.059607048735084e-35	8.658956994359306e-26	1.0171714800586398e-36	4.622028841744333e-40	1.0	5.77750335108248e-29	9.595071488917046e-15	4.3008514799097e-22	1.0219985768489755e-28	1.020411668866535e-38	3.098014500634362e-35	5.2812440922557215e-30
G000740855	5	5.0	1.0	1.3353812523539426e-19	3.212221239350798e-28	1.6469519045205494e-26	7.009004490985402e-25	1.94080913314262e-15	1.0	3.3883686239936104e-22	1.351698644399248e-28	6.133459064850459e-30	2.857842886161026e-24	2.342571259585438e-16	2.0522816336166014e-15	3.4721362815611466e-15	1.6014302619642103e-31	2.12079092893995e-15
G000013045	11	11.0	1.0	5.533650631378282e-19	1.5446728525963386e-27	1.8163952518426175e-25	1.4005196706188048e-34	2.2950044303664784e-14	7.419219143119339e-23	6.122450207180651e-22	8.57190163286606e-25	2.802596928649634e-45	2.8571076851523e-20	8.840108286922617e-21	1.0	1.7638798196659278e-31	7.748226539538994e-12	5.81591415700244e-21
G001263205	10	10.0	1.0	3.238715198805586e-11	5.482437383573002e-22	8.574568351760697e-36	8.372758324340782e-41	6.590837209330402e-09	1.983171819385706e-20	1.049745603632158e-26	4.9035738205092636e-18	5.475527751661478e-19	5.625217271120733e-17	1.0	2.1691563408215812e-14	4.589794391441024e-28	3.177923102213421e-21	2.4265722932219532e-20
G001796355	4	4.0	1.0	1.013329635347296e-36	2.2407296896231498e-21	2.6956206864316302e-34	9.118000810254028e-23	1.0	9.042940685545856e-15	4.522499028806731e-28	1.6519298325366478e-25	2.1288878808672715e-23	1.032560769855936e-18	6.292425431395594e-25	1.1947811169160617e-23	1.4457230956779758e-24	1.2690463757997403e-23	1.195324200317652e-22
G001626695	11	11.0	1.0	1.3122730572134788e-19	1.4026397321695333e-30	1.206261191828013e-17	4.1896158042306977e-16	1.555142566607132e-21	3.827282108570502e-16	1.1551740132386285e-26	3.1874415357611412e-21	4.594903989278519e-23	1.6291678885871044e-19	1.0975915272146142e-12	1.0	1.099103514906781e-13	5.241713777789942e-19	3.818806104671779e-10
G000179815	10	10.0	1.0	1.860769244755075e-24	5.3691476073727277e-20	1.1311410347696396e-36	3.787004225750924e-19	3.192203446023001e-11	3.4929898356758534e-17	1.2321139592556461e-25	3.63398377958412e-14	2.12855761120255e-13	1.166021446064036e-10	1.0	3.555874466946475e-14	5.5203804571544295e-22	5.405864990531478e-23	7.781818968842014e-19
G001805855	11	11.0	1.0	2.858194095897021e-15	1.4153966347127926e-27	3.483877870978371e-30	3.2235276938805505e-20	2.979112635074743e-22	8.784831217671749e-16	1.96255355146922e-25	4.846481202469555e-11	1.986480559533898e-35	3.239899084543138e-20	1.7210720695826076e-12	1.0	5.0145827240215283e-23	2.447147667789128e-17	3.478098268544184e-17
G000829195	2	2.0	1.0	1.5814211146739484e-31	5.502058290324962e-41	1.0	3.8796765978847355e-21	3.87809644722087e-27	2.7995311624451347e-10	4.96130262427688e-32	2.2249194715866825e-30	6.726232628759122e-43	4.8867701110894046e-32	2.4521788664820033e-29	2.0207774027313198e-25	1.543626009523207e-25	3.770728549123204e-27	3.385058856921693e-31
G002021195	9	9.0	1.0	1.601843697809485e-26	2.3162365777063228e-21	8.810540694722328e-23	1.533494273716629e-27	6.127603017331038e-18	2.690254238341389e-22	2.0521397165497127e-31	5.621780879500191e-26	2.678713913011055e-14	1.0	3.1414327813848963e-17	1.629256624387316e-17	1.9054649913510212e-22	1.18550766065147e-20	7.815614466743633e-19
G002007565	7	7.0	1.0	1.8298579619971063e-34	2.4780562043120065e-41	4.589143411404233e-22	2.52954147424431e-18	3.4991292389254546e-22	2.8926659024582917e-32	4.931646410060165e-37	1.0	7.581723447337554e-32	5.684619881963218e-19	4.3317347640646175e-17	1.1674997430155772e-24	7.27591083370842e-31	7.394600028113206e-33	5.277703517669201e-21
G000426485	6	6.0	1.0	2.3537311299650434e-32	5.135444532478937e-36	1.1658927660279772e-32	4.1716680260064585e-19	2.111404564884137e-21	1.6766242834691358e-27	1.0	9.594343814936916e-29	1.2804922101230055e-25	4.6612503796546285e-30	7.200028391779834e-26	1.3074771820775766e-10	1.2708468957092399e-18	7.05291579377551e-31	7.332087247327144e-22
G000970345	9	9.0	1.0	3.342130028924578e-29	7.68499520864855e-35	2.03006095074271e-36	4.9008087462476875e-32	1.3837451999604533e-17	3.9436830422417793e-32	6.203968691105263e-41	2.3940130951314968e-14	3.02715511617248e-24	1.0	9.432035502091296e-19	3.26579746328732e-19	1.4837843569989867e-38	8.39675889718923e-30	2.253375375245804e-34
G000152065	4	4.0	1.0	7.911011124196584e-24	5.625941240272355e-19	1.1866807407737963e-33	1.777823889007151e-22	1.0	6.4142301985674e-18	1.4467323254348377e-32	2.832470839641102e-22	1.5697226831129517e-19	1.816014650675456e-17	5.631860402295283e-14	3.324498669914448e-26	1.7204873680549942e-20	1.876446487612555e-14	2.1893738314264152e-14
G001515955	3	3.0	1.0	7.993299137454168e-34	8.173094671832283e-33	2.7347504171798992e-27	1.0	3.9179370008904753e-17	1.1905197151457908e-13	2.2399093752559158e-21	4.285013235525652e-23	1.8586495378026675e-30	7.600412895332012e-29	2.926787618059062e-16	1.0184634470788376e-23	2.7505060761792355e-20	9.8805310530717e-21	4.2206717378461846e-16
G000991325	0	0.0	1.0	1.0	1.410470620599374e-34	7.089987293289709e-29	3.1877415506870144e-31	3.83983534516669e-28	8.05954676998353e-29	1.2067340315503514e-34	5.958196896400447e-21	9.571462751570476e-36	7.538299698602924e-30	9.669537047133593e-18	1.751363335722674e-37	4.864819995220848e-18	8.969764001178902e-22	4.053751403639784e-23
G001790455	12	12.0	1.0	3.7098319208284103e-13	7.582303673814295e-09	3.834189404497521e-26	6.307337796834932e-21	5.961799942610924e-10	1.0204140483971447e-11	3.736872478226363e-22	1.0919561238429071e-15	4.032585309125121e-18	7.162924631686982e-14	9.06909837610629e-21	6.292087468546901e-18	1.0	2.9347163006353734e-22	3.84599036645783e-14
G000612665	2	2.0	1.0	9.417514868599004e-33	1.715545003514985e-36	1.0	7.227671850863663e-22	1.1788849780301794e-24	2.8069832916366444e-11	7.194217267710454e-31	3.7135029304624393e-26	1.526396167346141e-36	3.5581863871345284e-26	8.713794522561688e-34	4.47002391588014e-24	7.023564891143519e-25	4.751801284135786e-25	4.815024849533515e-26
G000988325	11	11.0	1.0	1.5388601241136847e-22	3.53607729042148e-33	1.754564230149504e-17	6.136711774726517e-15	1.8988613087375086e-15	5.023810114284787e-16	5.783900918973628e-13	1.012514047214405e-14	9.675575228171307e-13	2.120962378368246e-21	5.8795654660315e-18	1.0	1.366242968097505e-16	1.767437430784649e-22	4.0794840510331015e-17
G000423425	4	4.0	1.0	2.9847657290118604e-43	3.882093511642125e-34	0.0	1.7194817777894959e-37	1.0	5.449005135898154e-18	8.220344842757935e-32	4.187139559691148e-31	1.604714579580333e-23	5.268370270796703e-21	1.0902174616637256e-13	7.808353499156553e-24	2.6862891561106743e-42	1.394256491344531e-26	5.786253586865945e-16
G000689635	10	10.0	1.0	2.785741344944902e-21	1.1032852292171028e-17	5.456354660651315e-38	1.1185410039724795e-17	3.744434080697355e-15	3.634229535605854e-16	8.632692748324945e-21	4.272364729249016e-15	1.6401210130759345e-15	3.563551884133709e-11	1.0	2.126076571740132e-11	1.9358404378740264e-15	8.713807505044476e-16	1.9627282282351933e-15
G001603985	3	3.0	1.0	1.622263815757319e-36	5.807195515086777e-38	1.0088246737818584e-36	1.0	9.962543703557975e-29	1.2498549613866363e-20	4.688677147259589e-23	2.0943325816397097e-30	3.116878183380055e-25	0.0	3.191917047680457e-30	7.951563489120383e-29	5.226906160592351e-31	1.8275894336437716e-28	2.3741900792680097e-19
G000196615	8	8.0	1.0	7.42688186092153e-44	2.2388733338511822e-38	1.7352619394974188e-31	1.5761004663183412e-27	1.2830483784310682e-19	7.785876939710965e-29	0.0	2.9893741235934704e-19	1.0	3.4490169741668824e-25	1.848957072671889e-27	3.636247794454443e-27	3.315601758674498e-37	3.7116627183137284e-33	2.192551111804587e-28
G000010645	6	6.0	1.0	8.87952538181533e-19	1.4393826388418175e-33	1.3089846161979107e-17	2.0596293003268977e-16	1.327552307944329e-22	6.871204783803825e-19	1.0	1.4626862718207777e-17	5.188450002560519e-22	1.8157556332838017e-20	1.134838695427428e-17	2.7122217360897594e-08	1.3962357745672671e-12	3.4776737594538216e-17	1.963528006854176e-09
G001932855	9	9.0	1.0	3.063437315292107e-37	2.7451188536285023e-27	1.0992514017410385e-26	2.4302258370976284e-32	2.218229655359652e-33	2.1124061853225856e-26	7.969184366615235e-42	5.097766292097002e-24	1.2140165890971264e-17	1.0	2.443483059152171e-16	1.0484649372563382e-26	6.560633805978826e-32	8.16256355469206e-40	3.5814501087067933e-31
G000768345	9	9.0	1.0	4.003342907029063e-32	2.0204892527967604e-28	2.246572122860405e-24	2.052640712242033e-31	1.2342477571664762e-13	2.662357175760712e-26	1.664884791493261e-34	9.576609389392102e-14	2.9946083876081803e-22	1.0	9.058527266371804e-19	6.070812849658149e-17	2.18394201366011e-38	1.5336398017980518e-28	1.5469793462977368e-26
G001000705	12	12.0	1.0	6.81551711768924e-13	4.445958432067402e-25	3.7062326157965994e-24	5.581593486150361e-16	6.398547234656477e-16	6.506185977835767e-22	4.036388602863579e-17	2.2359776715994803e-25	3.617115286605369e-19	9.277430230287918e-23	5.745587535068266e-15	2.883993877045299e-10	1.0	1.7939324438378934e-18	1.1132367944144406e-10
G001418015	6	6.0	1.0	1.2603138258290972e-39	0.0	3.409202946650294e-30	3.269738188515982e-33	1.3327647903872887e-35	1.2133400342954842e-33	1.0	3.4321463093365363e-28	3.9166837002449176e-31	2.0526981674063136e-21	9.841401957739633e-30	1.2853639897879953e-29	9.901048609970414e-30	3.420526055112546e-36	6.247815657441815e-33
G000213055	1	1.0	1.0	3.334769997053732e-36	1.0	1.1537787087803387e-39	9.248569864543793e-43	9.700666929661866e-21	2.2889721311831425e-21	1.961817850054744e-44	4.029546486370192e-30	0.0	3.910634217036996e-25	2.1704055040913085e-22	2.1375814600731294e-28	2.923528986120866e-41	1.88931476472706e-32	6.854212879123133e-27
G001795155	4	4.0	1.0	3.4523436626826554e-12	7.351112774056645e-12	2.1250932488312365e-28	3.8860240419859345e-17	1.0	1.0165255442950993e-10	9.958632574091905e-21	3.7157484629056405e-15	2.569704528366481e-29	8.185257159565307e-12	9.304219616979026e-09	4.237739492651826e-09	2.0671994174106053e-18	8.296243026058563e-15	4.090703928861771e-17
G001796635	4	4.0	1.0	3.9758299322325874e-23	1.4704036077957212e-21	2.802596928649634e-45	1.0171035100428044e-25	1.0	4.130343747304292e-17	5.818836297368857e-16	2.6124952895445475e-12	4.024331999749402e-26	1.0547481496551774e-24	5.347853354692107e-18	1.9687937517611425e-16	4.863464298750787e-26	3.5308835391080484e-13	5.88407655932599e-10
G000427685	13	13.0	1.0	2.9397554415460075e-24	8.719941646291393e-35	4.203895392974451e-45	6.47540020364498e-42	1.2725807117680847e-15	2.5179181980918526e-28	6.362063187667301e-31	0.0	1.6535321879032841e-43	3.63013758911288e-26	2.3881383570764745e-37	3.192827739182471e-24	1.582773050726829e-31	1.0	2.7911461902224346e-35
G001776075	12	12.0	1.0	2.5545884531230197e-26	8.101355537298545e-34	2.6141919886982626e-33	3.283093354818372e-29	1.1895578523880677e-27	1.9090217758460455e-23	0.0	7.713972603540385e-38	6.634307449499414e-41	8.045731809677073e-27	8.329724293191603e-24	1.3096056592416786e-22	1.0	1.1126309806739048e-41	2.2085209503186056e-17
G000878885	5	5.0	1.0	2.6858620664045813e-17	5.365539713740759e-29	3.0141917850556865e-09	6.872559026862776e-14	4.625452530894339e-15	1.0	8.326055602781831e-20	4.2396311720535544e-24	6.141077228199494e-27	1.5570844619523925e-20	7.543162696628257e-22	1.6657801440306264e-12	2.585807622999147e-17	7.979333862326797e-22	7.227134914518682e-18
G000987835	10	10.0	1.0	1.6349670797511968e-23	1.1699468904617184e-39	3.267610984551375e-30	1.5105614675769985e-11	5.671141797831105e-21	3.788597385950459e-17	7.127693742819394e-18	1.0121767778668598e-24	4.615799326838593e-20	2.7722088301518576e-25	1.0	2.2744132965879515e-11	1.1030385758698403e-14	5.366163411141275e-18	2.1487034373990355e-10
G000420905	3	3.0	1.0	1.0388738974304095e-34	2.298583143104002e-33	4.472081932337004e-34	1.0	3.742705441977312e-23	1.1778304713705689e-21	9.710737692060986e-21	6.1692531980998905e-27	1.4408673726955625e-31	2.9391155617310344e-32	9.093982295377359e-19	9.477359218996189e-29	6.663140772764416e-23	3.3316767248322317e-23	1.2656512713054695e-25
G000429565	8	8.0	1.0	7.044021112368493e-37	3.070613945425998e-34	1.41843396632816e-20	2.6642334805885663e-36	6.364309456937485e-27	6.366251949879394e-27	9.949219096706201e-44	9.011899508832497e-18	1.0	2.2546950972923696e-08	5.5711897258822665e-24	7.796499064466667e-26	4.7303216753925616e-30	3.0476481837242884e-34	7.921745639868273e-28
G000737865	1	1.0	1.0	7.544638428095484e-35	1.0	2.5277882868108943e-39	4.8039299940998736e-39	2.4381683718238593e-22	2.288162661190451e-34	9.009387497385946e-26	1.9956079764963325e-37	0.0	1.372658795771585e-30	9.165670816920854e-31	2.1597287970077993e-35	1.2611686178923354e-44	2.5008141810290106e-34	8.973220321497823e-37
